,BC_Run_State,EquipCode,Equip_Work_Time_Total,bc1174,bc120,bc124,bc125,bc1304,bc_total_consumption,time
70,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:13:50+08:00
71,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:13:51+08:00
72,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:13:52+08:00
73,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,9.0,2019-08-12T18:13:53+08:00
74,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:13:58+08:00
75,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:13:59+08:00
76,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:00+08:00
77,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:01+08:00
78,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:02+08:00
79,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:03+08:00
80,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:04+08:00
81,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:05+08:00
82,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:06+08:00
83,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:14+08:00
84,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:15+08:00
85,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:17+08:00
86,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:18+08:00
87,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:20+08:00
88,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:21+08:00
89,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:22+08:00
90,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:23+08:00
91,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:24+08:00
92,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:25+08:00
93,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:26+08:00
94,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:27+08:00
95,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:29+08:00
96,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:31+08:00
97,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:32+08:00
98,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:33+08:00
99,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:34+08:00
100,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:35+08:00
101,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:36+08:00
102,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:37+08:00
103,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:39+08:00
104,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:41+08:00
105,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:42+08:00
106,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:44+08:00
107,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:45+08:00
108,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:14:46+08:00
109,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:15:48+08:00
110,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:15:50+08:00
111,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:15:51+08:00
112,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:15:52+08:00
113,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:15:53+08:00
114,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:15:54+08:00
115,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:11+08:00
116,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:12+08:00
117,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:13+08:00
118,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:14+08:00
119,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:15+08:00
120,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:16+08:00
121,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:18+08:00
122,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:19+08:00
123,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:20+08:00
124,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:22+08:00
125,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:23+08:00
