调试在线-数据导出,,,,,,,,,,,
time,GPS纬度,GPS经度,GPS定位时间,液压油温,泵送排量,累计油耗,转向次数,发动机转速,系统压力,累计时间,泵车状态
2019-07-23 08:15:18.22,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:19.00,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:19.66,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:20.50,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:21.02,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:22.06,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:22.63,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:23.50,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:24.18,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:24.67,28.24,113.09,,,,,,,,,
2019-07-23 08:15:25.20,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:25.99,28.24,113.09,,,,,,,,,
2019-07-23 08:15:27.23,28.24,113.09,,,0,,0,0,,0.02,0
2019-07-23 08:15:28.21,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:29.29,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:30.23,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:31.21,28.24,113.09,,37,,,,,0,,
2019-07-23 08:15:32.49,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:33.29,28.24,113.09,,37,0,,0,,0,0.02,0
2019-07-23 08:15:34.33,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:35.49,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:36.53,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:37.49,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:38.51,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:39.55,28.24,113.09,,37,0,,0,0,0,0.02,0
